src_uid,dst_uid,relation_type,relative_revenue,relative_revenue_percentage,depth,direction
19f1c551-d50b-5d80-b7ac-b74f597bb831,0da2e51a-442b-5012-a2a9-4d504af8aa79,Supplier,,,2,suppliers
19f1c551-d50b-5d80-b7ac-b74f597bb831,1124d776-1b62-5821-a8f1-2fe6f7681211,Supplier,,,2,suppliers
19f1c551-d50b-5d80-b7ac-b74f597bb831,21475b77-c724-5b24-a1ee-fa060f3a6142,Supplier,,,2,suppliers
19f1c551-d50b-5d80-b7ac-b74f597bb831,2fcf8fad-cdc2-57ad-89d2-ef6c8d97cb33,Supplier,,,2,suppliers
19f1c551-d50b-5d80-b7ac-b74f597bb831,47ff3b9e-6ef2-5a98-aa22-eaa093aeef77,Supplier,,,2,suppliers
19f1c551-d50b-5d80-b7ac-b74f597bb831,6b84c803-c493-518d-83b2-86ea391a359e,Supplier,,,2,suppliers
19f1c551-d50b-5d80-b7ac-b74f597bb831,730d361d-a734-5621-a9a2-8c505310e8b6,Supplier,,,2,suppliers
19f1c551-d50b-5d80-b7ac-b74f597bb831,b565bf7d-dbc0-58c1-b144-855b2477176b,Supplier,,,2,suppliers
19f1c551-d50b-5d80-b7ac-b74f597bb831,b6f41d7f-05cf-5ae4-ad66-2dece518f089,Supplier,3.3,2.1,2,suppliers
19f1c551-d50b-5d80-b7ac-b74f597bb831,cb014600-be31-51de-8a39-1e5101b9d303,Supplier,,,2,suppliers
19f1c551-d50b-5d80-b7ac-b74f597bb831,d8f7fb29-d3bb-5bb2-b71d-e50428ea48b6,Supplier,,,2,suppliers
19f1c551-d50b-5d80-b7ac-b74f597bb831,e705de2f-380e-5b92-a761-91e72cbc69a0,Supplier,,,2,suppliers
19f1c551-d50b-5d80-b7ac-b74f597bb831,e6539a0f-04ef-5e1e-b42a-78ea110bc722,Supplier,,,2,suppliers
19f1c551-d50b-5d80-b7ac-b74f597bb831,ff791478-3bce-56ef-a0c5-65bc2521e4ef,Supplier,,,2,suppliers
19f1c551-d50b-5d80-b7ac-b74f597bb831,00534628-1734-5c75-8ea0-889b519d3c4a,Supplier,25.2,2.74,2,suppliers
19f1c551-d50b-5d80-b7ac-b74f597bb831,361c7c36-5743-50fe-aecd-7425d3689699,Supplier,,,2,suppliers
19f1c551-d50b-5d80-b7ac-b74f597bb831,421bb25d-9b48-534f-ab08-33abf8595288,Supplier,,,2,suppliers
19f1c551-d50b-5d80-b7ac-b74f597bb831,67eb24ce-8969-5161-a5d4-70e544ecd218,Supplier,,,2,suppliers
19f1c551-d50b-5d80-b7ac-b74f597bb831,792cb6ab-7f6d-57ea-bbb9-928ae85dfa5d,Supplier,,,2,suppliers
19f1c551-d50b-5d80-b7ac-b74f597bb831,88512348-d6f6-528e-8fc7-f53a3dfd5129,Supplier,,,2,suppliers
19f1c551-d50b-5d80-b7ac-b74f597bb831,90ed394e-c1c1-58d8-aa19-25d5789021ff,Supplier,,,2,suppliers
19f1c551-d50b-5d80-b7ac-b74f597bb831,9797591d-d0da-5bf2-aacd-85d2bf57a229,Supplier,,,2,suppliers
19f1c551-d50b-5d80-b7ac-b74f597bb831,a503bb0d-af85-5621-8cbe-41ae3ab7cb49,Supplier,,,2,suppliers
19f1c551-d50b-5d80-b7ac-b74f597bb831,b3b2efba-c568-5975-960c-8f4edbefb69b,Supplier,,,2,suppliers
19f1c551-d50b-5d80-b7ac-b74f597bb831,d56d56b2-a94a-5981-9a16-9cf7640704a3,Supplier,,,2,suppliers
19f1c551-d50b-5d80-b7ac-b74f597bb831,1bbb54b6-e228-55d1-a2b3-f1d8d35fd838,Supplier,,,2,suppliers
19f1c551-d50b-5d80-b7ac-b74f597bb831,4ec40bb4-0b3d-5aed-976a-b89f42d9f448,Supplier,,,2,suppliers
19f1c551-d50b-5d80-b7ac-b74f597bb831,70816405-c14b-53cf-9a19-3d25234cff49,Supplier,,,2,suppliers
